Equipment_ID	Timestamp	Target	is_Pump	is_Motor	Days_Since_Last_Breakdown	Breakdown_Count_Last_90_Days	Critical_Parts_Stockout	Max_Lead_Time_for_Critical_Part	Active_Production_Orders_Count	Hours_Booked_Next_24h	Avg_Vibration_Last_1_Hour	Temp_vs_7Day_Avg_Delta
												
PMP-001	2025-11-20 8:00:00	0	1	0	45	0	0	14	2	18	2.1	-0.5
												
MOT-105	2025-11-20 9:00:00	1	0	1	5	2	1	30	0	0	5.8	4.1
												
COM-210	2025-11-20 10:00:00	0	0	0	120	0	0	21	1	10	1.5	-1.2
												
PMP-001	2025-11-20 11:00:00	0	1	0	46	0	0	14	1	9	2.3	0.2
												
MOT-105	2025-11-20 12:00:00	1	0	1	6	2	1	30	0	0	6.1	4.5
												
COM-210	2025-11-20 13:00:00	0	0	0	121	0	0	21	2	15	1.7	-0.8
												
PMP-001	2025-11-20 14:00:00	0	1	0	47	0	0	14	1	12	2	-0.1
												
MOT-105	2025-11-20 15:00:00	1	0	1	7	2	1	30	0	0	6.5	4.9
												
COM-210	2025-11-20 16:00:00	0	0	0	122	0	0	21	1	11	1.4	-1
												
PMP-001	2025-11-20 17:00:00	0	1	0	48	0	0	14	2	20	2.5	0.8
												
MOT-105	2025-11-20 18:00:00	1	0	1	8	2	1	30	0	0	7	5.5
												
COM-210	2025-11-20 19:00:00	0	0	0	123	0	0	21	2	16	1.9	0.1
												
PMP-001	2025-11-20 20:00:00	0	1	0	49	0	0	14	1	10	2.2	0.4
												
MOT-105	2025-11-20 21:00:00	1	0	1	9	2	1	30	0	0	7.2	5.8
												
COM-210	2025-11-20 22:00:00	0	0	0	124	0	0	21	1	12	1.6	-0.5
												
PMP-001	2025-11-20 23:00:00	0	1	0	50	0	0	14	2	15	2.4	0.6
												
MOT-105	2025-11-21 0:00:00	1	0	1	10	2	1	30	0	0	7.5	6.2
												
COM-210	2025-11-21 1:00:00	0	0	0	125	0	0	21	2	18	1.8	0
												
PMP-001	2025-11-21 2:00:00	0	1	0	51	0	0	14	1	8	2.1	-0.3
												
MOT-105	2025-11-21 3:00:00	1	0	1	11	2	1	30	0	0	7.8	6.5
												
COM-210	2025-11-21 4:00:00	0	0	0	126	0	0	21	1	9	1.5	-0.9
												
PMP-001	2025-11-21 5:00:00	0	1	0	52	0	0	14	2	13	2.3	0.1
												
MOT-105	2025-11-21 6:00:00	1	0	1	12	2	1	30	0	0	8	6.8
												
COM-210	2025-11-21 7:00:00	0	0	0	127	0	0	21	2	17	1.7	-0.6
												
PMP-001	2025-11-21 8:00:00	0	1	0	53	0	0	14	1	11	2	-0.2
												
MOT-105	2025-11-21 9:00:00	1	0	1	13	2	1	30	0	0	8.3	7.1
												
COM-210	2025-11-21 10:00:00	0	0	0	128	0	0	21	1	10	1.4	-1.1
												
PMP-001	2025-11-21 11:00:00	0	1	0	54	0	0	14	2	14	2.2	0
												
MOT-105	2025-11-21 12:00:00	1	0	1	14	2	1	30	0	0	8.5	7.4
												
COM-210	2025-11-21 13:00:00	0	0	0	129	0	0	21	2	19	1.6	-0.4
												
PMP-001	2025-11-21 14:00:00	0	1	0	55	0	0	14	1	7	2.1	-0.4
												
MOT-105	2025-11-21 15:00:00	1	0	1	15	2	1	30	0	0	8.8	7.7
												
COM-210	2025-11-21 16:00:00	0	0	0	130	0	0	21	1	13	1.3	-1.3
												
PMP-001	2025-11-21 17:00:00	0	1	0	56	0	0	14	2	16	2.3	0.3
												
MOT-105	2025-11-21 18:00:00	1	0	1	16	2	1	30	0	0	9	8
												
COM-210	2025-11-21 19:00:00	0	0	0	131	0	0	21	2	20	1.5	-0.7
												
PMP-001	2025-11-21 20:00:00	0	1	0	57	0	0	14	1	11	2	-0.1
												
MOT-105	2025-11-21 21:00:00	1	0	1	17	2	1	30	0	0	9.3	8.3
												
COM-210	2025-11-21 22:00:00	0	0	0	132	0	0	21	1	14	1.2	-1.4
												
PMP-001	2025-11-21 23:00:00	0	1	0	58	0	0	14	2	17	2.2	0
												
MOT-105	2025-11-22 0:00:00	1	0	1	18	2	1	30	0	0	9.5	8.6
												
COM-210	2025-11-22 1:00:00	0	0	0	133	0	0	21	2	15	1.4	-0.9
												
